IMAGE_NAME,CLASSES,DEVICE,DATA_TYPE
IMG_0076_jpg.rf.8e0c554b2febda078a24e4118aa47a66.jpg,['Katol'],Iphone XS Max,TRAIN
IMG_0077_jpg.rf.d48ce73af8322bf9d065127bc3e8adb5.jpg,"['Chitol', 'Katol']",Iphone XS Max,TRAIN
IMG_0080_jpg.rf.e5db74abdc2fd883ccca271baba87b9a.jpg,"['Chitol', 'Katol']",Iphone XS Max,TRAIN
IMG_0081_jpg.rf.8221e6799bc530d454e9e4e97ef3ed1b.jpg,"['Chitol', 'Katol']",Iphone XS Max,TRAIN
IMG_0083_jpg.rf.3c91e290b85dedffd744b63569afb3f0.jpg,"['Chitol', 'Katol']",Iphone XS Max,TRAIN
IMG_0100_jpg.rf.62a0ce34ae6f449b912316e144106316.jpg,"['Koi', 'Koi', 'Koi', 'Koi']",Iphone XS Max,TRAIN
IMG_0121_jpg.rf.0cc385e845367113115554476abb5f3b.jpg,"['Koi', 'Koi', 'Koi']",Iphone XS Max,TRAIN
IMG_0122_jpg.rf.4458a4c07b9ed26bfcf0f75e0ba6ccc1.jpg,"['Koi', 'Koi', 'Koi']",Iphone XS Max,TRAIN
IMG_0124_jpg.rf.93f4d301513755da1581f8b2a7526344.jpg,"['Chitol', 'Vetki']",Iphone XS Max,TRAIN
IMG_0125_jpg.rf.b71cb4f31cd21db2d1b3279898149f02.jpg,"['Chitol', 'Vetki']",Iphone XS Max,TRAIN
IMG_0126_jpg.rf.b9e43a083e646079b08189e1e6d05114.jpg,"['Chitol', 'Vetki']",Iphone XS Max,TRAIN
IMG_0127_jpg.rf.13d43df3b9d40654696c2ef536a113e6.jpg,"['Chitol', 'Vetki']",Iphone XS Max,TRAIN
IMG_0128_jpg.rf.065991137e69e6dc219e59b542035a5a.jpg,"['Vetki', 'Chitol']",Iphone XS Max,TRAIN
IMG_0135_jpg.rf.1c2f8fcd05023e9047b1d53ad15eb36f.jpg,['Koi'],Iphone XS Max,TRAIN
IMG_0143_jpg.rf.97166a8f5543f1976a40690d91370eb6.jpg,"['Vetki', 'Chitol']",Iphone XS Max,TRAIN
IMG_0145_jpg.rf.a2d58b1f19554a1f90774ce6fde0a2d6.jpg,"['Chitol', 'Vetki']",Iphone XS Max,TRAIN
